SPINNAKER_APPLICATION_NAME,APP_SHORT_NAME_UPPERCASE,SPINNAKER_PIPELINE_NAME,INT_CHART_NAME_DEFAULT_VALUE,INT_CHART_VERSION_DEFAULT_VALUE,INT_CHART_REPO_DEFAULT_VALUE,APPLICATION_STAGING_PIPELINE_ID,AAS_E2E_FLOW_PIPELINE_ID,SUBMIT_TO_IDUN_STAGING_PARAMETER,SUBMIT_TO_EO_STAGING_PARAMETER,RUN_BUR_TESTING_PARAMETER,RUN_INSTALL_TESTING_PARAMETER
base-platform-common-base-e2e-cicd,COMMON_BASE,eric-adp-gui-aggregator-service-E2E-Flow,eric-oss-common-base,0.0.0,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm,3fc58679-e9c4-43fb-8724-92d2d758ddef,57fd53c8-5f40-4f32-8be2-1b3122089c94,true,true,false,false
base-platform-common-base-e2e-cicd,COMMON_BASE,eric-cnom-server-E2E-Flow,eric-oss-common-base,0.0.0,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm,3fc58679-e9c4-43fb-8724-92d2d758ddef,9ec58bbc-0a31-4f99-ac8b-1145abae0f95,true,true,false,false
base-platform-common-base-e2e-cicd,COMMON_BASE,eric-mesh-gateways-E2E-Flow,eric-oss-common-base,0.0.0,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm,3fc58679-e9c4-43fb-8724-92d2d758ddef,82a2ef98-703e-4929-b810-a566833917f8,true,true,false,false
base-platform-common-base-e2e-cicd,COMMON_BASE,eric-dst-query-E2E-Flow,eric-oss-common-base,0.0.0,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm,3fc58679-e9c4-43fb-8724-92d2d758ddef,caa6ecaa-cd7d-4df0-8782-889fd29b433e,true,true,false,false
base-platform-common-base-e2e-cicd,COMMON_BASE,eric-pm-kube-state-metrics-E2E-Flow,eric-oss-common-base,0.0.0,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm,3fc58679-e9c4-43fb-8724-92d2d758ddef,5513b878-0a07-405d-b1b3-7fe8e8d4d3b9,true,true,false,false
base-platform-common-base-e2e-cicd,COMMON_BASE,eric-cb-data-document-database-pg-E2E-Flow,eric-oss-common-base,0.0.0,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm,3fc58679-e9c4-43fb-8724-92d2d758ddef,b29d9ea8-3fba-4393-b82b-4c3c51e8485d,true,true,true,false
base-platform-common-base-e2e-cicd,COMMON_BASE,eric-cb-log-shipper-E2E-Flow,eric-oss-common-base,0.0.0,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm,3fc58679-e9c4-43fb-8724-92d2d758ddef,e009d4db-3efc-4f1a-96f4-98d72b13a618,true,true,false,true
