SPINNAKER_APPLICATION_NAME,SPINNAKER_PIPELINE_NAME,EXECUTION_TIME
idun-aas-e2e-cicd,eric-common-base-api-gateway-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-visualizer-kibana-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-usermgmt-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-usermgmt-ui-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-eai-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-br-agent-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-adp-gui-aggregator-service-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-cnom-server-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-evnfm-nbi-service-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-evnfm-crypto-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-gr-bur-orchestrator-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-eric-mesh-gateways-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-ddc-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-metrics-stager-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-eric-dst-query-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-eric-oss-help-aggregator-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-pm-alert-manager-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-eric-oss-key-management-agent-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-pm-kube-state-metrics-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-oss-license-consumer-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-oss-certificate-management-ui-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-log-shipper-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-data-document-database-pg-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-common-base-oss-ui-settings-AAS-E2E-Flow,21:00:00
